ignX,ignY,windDir,windSpeed,duration
230,301,17.0,10.771781147937968,1.3030249232074211
182,300,348.0,28.601821763326456,0.49560367448767173
167,347,54.0,23.417441228299374,1.0748229908759586
184,79,333.0,12.528734617694493,1.856966265152216
180,150,0.0,0.0,0.99325919833388
107,251,291.0,14.956027744068953,0.8168107235532249
74,50,84.0,21.696075470794746,1.100729745844513
130,113,271.0,7.819608268577538,1.4640341855233656
228,183,2.0,8.52021768172799,1.591744033333745
123,146,312.0,8.295110974547146,1.1362819441586982
174,200,42.0,5.612376572558313,1.508329864791218
92,347,344.0,4.574179161154577,1.0971832513871926
262,149,30.0,7.796489314924236,1.3899878444555158
381,232,272.0,13.710512067461607,0.5657029663949121
232,244,26.0,28.85592298764314,1.317845289332344
263,90,286.0,3.6962563577068863,1.7076118468178436
189,166,26.0,12.620285705444468,1.6951144605165784
383,281,329.0,7.756290271082866,0.7529837125383876
273,286,89.0,18.32595525523929,1.1223071492581183
313,320,276.0,18.215055793913358,0.6098291235098381
184,228,39.0,0.0,1.8631271574240569
248,121,353.0,20.167657253086517,1.7718020455589547
286,235,15.0,12.999616592985465,1.6892832048685285
274,183,338.0,18.00103646818799,1.5866208706932539
253,34,70.0,20.618565905929543,1.969474892768895
199,100,294.0,12.553265367070074,1.2216596091425098
124,200,13.0,0.8555096445833232,1.7100138624862602
238,54,339.0,6.906627390492552,2.291323777596494
59,195,26.0,16.806578749159222,1.492378709705947
37,65,341.0,18.44642097762761,1.924262168229251
100,250,18.0,19.54764201813043,0.9198679520939993
127,237,306.0,15.944504405463304,3.0017736866068736
76,378,26.0,21.29117884763198,1.9272861049090573
331,235,296.0,10.05430262029618,1.81082721952523
313,298,86.0,18.09151225219168,0.8403446422904239
229,235,356.0,10.173428828197661,2.916832833976512
275,142,51.0,0.0,1.3641016765703766
91,55,304.0,8.265554839242514,0.9740667135940355
142,83,3.0,14.964788066195299,0.6032240407532303
311,382,278.0,15.20300371681116,0.5823673918561527
385,135,72.0,18.748238941816375,1.8362017690221
108,34,308.0,11.008061787155853,1.5500329227370626
184,145,66.0,16.849132269038666,1.7847936954645223
292,333,306.0,7.289473664054715,1.3055169261697601
392,250,22.0,6.939429454372034,1.1670516784328746
177,15,322.0,5.2113278468980955,2.784304147916377
343,33,6.0,13.330548705241538,1.0717022607514144
251,289,333.0,23.59047799482937,1.3226724052606988
153,98,29.0,13.617251414489777,1.560852396362428
190,353,297.0,20.21402683706346,1.6685382407222984
224,221,62.0,12.86598069014935,0.5713683797373367
319,202,337.0,12.601775805724623,0.933814642695179
329,393,52.0,23.267528636946025,1.859382454351852
